A_T0	a_m a_m
CUN_T4	cu el_h nn_l
CUO_T0	cu o_m o_m
CUO_T1	cu o_h o_h
CUO_T2	cu o_l o_h
CUO_T3	cu o_l o_l
CUO_T4	cu o_h o_l
DA_T0	d a_m a_m
DA_T1	d a_h a_h
DA_T2	d a_l a_h
DA_T3	d a_l a_l
DA_T4	d a_h a_l
DAI_T0	d a_m eh_m
DAI_T1	d a_h eh_h
DAI_T2	d a_l eh_h
DAI_T3	d a_l eh_l
DAI_T4	d a_h eh_l
DAN_T0	d a_m nn_m
DAN_T1	d a_h nn_h
DAN_T2	d a_l nn_h
DAN_T3	d a_l nn_l
DAN_T4	d a_h nn_l
DANG_T0	d aa_m ng_m
DANG_T1	d aa_h ng_h
DANG_T2	d aa_l ng_h
DANG_T3	d aa_l ng_l
DANG_T4	d aa_h ng_l
DAO_T0	d aa_m o_m
DAO_T1	d aa_h o_h
DAO_T2	d aa_l o_h
DAO_T3	d aa_l o_l
DAO_T4	d aa_h o_l
DE_T0	d el_m el_m
DE_T1	d el_h el_h
DE_T2	d el_l el_h
DE_T3	d el_l el_l
DE_T4	d el_h el_l
DEI_T0	d eh_m i_m
DEI_T1	d eh_h i_h
DEI_T2	d eh_l i_h
DEI_T3	d eh_l i_l
DEI_T4	d eh_h i_l
DENG_T0	d el_m ng_m
DENG_T1	d el_h ng_h
DENG_T2	d el_l ng_h
DENG_T3	d el_l ng_l
DENG_T4	d el_h ng_l
DI_T0	di i_m i_m
DI_T1	di i_h i_h
DI_T2	di i_l i_h
DI_T3	di i_l i_l
DI_T4	di i_h i_l
DIA_T0	di a_m a_m
DIA_T1	di a_h a_h
DIA_T2	di a_l a_h
DIA_T3	di a_l a_l
DIA_T4	di a_h a_l
DIAN_T0	di a_m nn_m
DIAN_T1	di a_h nn_h
DIAN_T2	di a_l nn_h
DIAN_T3	di a_l nn_l
DIAN_T4	di a_h nn_l
DIAO_T0	di aa_m o_m
DIAO_T1	di aa_h o_h
DIAO_T2	di aa_l o_h
DIAO_T3	di aa_l o_l
DIAO_T4	di aa_h o_l
DIE_T0	di eh_m eh_m
DIE_T1	di eh_h eh_h
DIE_T2	di eh_l eh_h
DIE_T3	di eh_l eh_l
DIE_T4	di eh_h eh_l
DING_T0	di el_m ng_m
DING_T1	di el_h ng_h
DING_T2	di el_l ng_h
DING_T3	di el_l ng_l
DING_T4	di el_h ng_l
DIU_T0	di o_m u_m
DIU_T1	di o_h u_h
DIU_T2	di o_l u_h
DIU_T3	di o_l u_l
DIU_T4	di o_h u_l
DONG_T0	du u_m ng_m
DONG_T1	du u_h ng_h
DONG_T2	du u_l ng_h
DONG_T3	du u_l ng_l
DONG_T4	du u_h ng_l
DOU_T0	d o_m u_m
DOU_T1	d o_h u_h
DOU_T2	d o_l u_h
DOU_T3	d o_l u_l
DOU_T4	d o_h u_l
DU_T0	du u_m u_m
DU_T1	du u_h u_h
DU_T2	du u_l u_h
DU_T3	du u_l u_l
DU_T4	du u_h u_l
DUAN_T0	du a_m nn_m
DUAN_T1	du a_h nn_h
DUAN_T2	du a_l nn_h
DUAN_T3	du a_l nn_l
DUAN_T4	du a_h nn_l
DUI_T0	du eh_m i_m
DUI_T1	du eh_h i_h
DUI_T2	du eh_l i_h
DUI_T3	du eh_l i_l
DUI_T4	du eh_h i_l
DUN_T0	du el_m nn_m
DUN_T1	du el_h nn_h
DUN_T2	du el_l nn_h
DUN_T3	du el_l nn_l
DUN_T4	du el_h nn_l
DUO_T0	du o_m o_m
DUO_T1	du o_h o_h
DUO_T2	du o_l o_h
DUO_T3	du o_l o_l
DUO_T4	du o_h o_l
E_T0	el_m el_m
E_T1	el_h el_h
E_T2	el_l el_h
E_T3	el_l el_l
E_T4	el_h el_l
EI_T0	eh_m i_m
EI_T1	eh_h i_h
EI_T2	eh_l i_h
EI_T3	eh_l i_l
EI_T4	eh_h i_l
EN_T0	el_m nn_m
EN_T1	el_h nn_h
EN_T2	el_l nn_h
EN_T3	el_l nn_l
EN_T4	el_h nn_l
ER_T0	er_m er_m
ER_T1	er_h er_h
ER_T2	er_l er_h
ER_T3	er_l er_l
ER_T4	er_h er_l
FA_T0	f a_m a_m
FA_T1	f a_h a_h
FA_T2	f a_l a_h
FA_T3	f a_l a_l
FA_T4	f a_h a_l
FAN_T0	f a_m nn_m
FAN_T1	f a_h nn_h
FAN_T2	f a_l nn_h
FAN_T3	f a_l nn_l
FAN_T4	f a_h nn_l
FANG_T0	f aa_m ng_m
FANG_T1	f aa_h ng_h
FANG_T2	f aa_l ng_h
FANG_T3	f aa_l ng_l
FANG_T4	f aa_h ng_l
FEI_T0	f eh_m i_m
FEI_T1	f eh_h i_h
FEI_T2	f eh_l i_h
FEI_T3	f eh_l i_l
FEI_T4	f eh_h i_l
FEN_T0	f el_m nn_m
FEN_T1	f el_h nn_h
FEN_T2	f el_l nn_h
FEN_T3	f el_l nn_l
FEN_T4	f el_h nn_l
FENG_T0	f el_m ng_m
FENG_T1	f el_h ng_h
FENG_T2	f el_l ng_h
FENG_T3	f el_l ng_l
FENG_T4	f el_h ng_l
FO_T0	fu o_m o_m
FO_T1	fu o_h o_h
FO_T2	fu o_l o_h
FO_T3	fu o_l o_l
FO_T4	fu o_h o_l
FOU_T0	f o_m u_m
FOU_T1	f o_h u_h
FOU_T2	f o_l u_h
FOU_T3	f o_l u_l
FOU_T4	f o_h u_l
FU_T0	fu u_m u_m
FU_T1	fu u_h u_h
FU_T2	fu u_l u_h
FU_T3	fu u_l u_l
FU_T4	fu u_h u_l
GA_T0	g a_m a_m
GA_T1	g a_h a_h
GA_T2	g a_l a_h
GA_T3	g a_l a_l
GA_T4	g a_h a_l
GAI_T0	g a_m eh_m
GAI_T1	g a_h eh_h
GAI_T2	g a_l eh_h
GAI_T3	g a_l eh_l
GAI_T4	g a_h eh_l
GAN_T0	g a_m nn_m
GAN_T1	g a_h nn_h
GAN_T2	g a_l nn_h
GAN_T3	g a_l nn_l
GAN_T4	g a_h nn_l
GANG_T0	g aa_m ng_m
GANG_T1	g aa_h ng_h
GANG_T2	g aa_l ng_h
GANG_T3	g aa_l ng_l
GANG_T4	g aa_h ng_l
GAO_T0	g aa_m o_m
GAO_T1	g aa_h o_h
GAO_T2	g aa_l o_h
GAO_T3	g aa_l o_l
GAO_T4	g aa_h o_l
GE_T0	g el_m el_m
GE_T1	g el_h el_h
GE_T2	g el_l el_h
GE_T3	g el_l el_l
GE_T4	g el_h el_l
GEI_T0	g eh_m i_m
GEI_T1	g eh_h i_h
GEI_T2	g eh_l i_h
GEI_T3	g eh_l i_l
GEI_T4	g eh_h i_l
GEN_T0	g el_m nn_m
GEN_T1	g el_h nn_h
GEN_T2	g el_l nn_h
GEN_T3	g el_l nn_l
GEN_T4	g el_h nn_l
GENG_T0	g el_m ng_m
GENG_T1	g el_h ng_h
GENG_T2	g el_l ng_h
GENG_T3	g el_l ng_l
GENG_T4	g el_h ng_l
GONG_T0	gu u_m ng_m
GONG_T1	gu u_h ng_h
GONG_T2	gu u_l ng_h
GONG_T3	gu u_l ng_l
GONG_T4	gu u_h ng_l
GOU_T0	g o_m u_m
GOU_T1	g o_h u_h
GOU_T2	g o_l u_h
GOU_T3	g o_l u_l
GOU_T4	g o_h u_l
GU_T0	gu u_m u_m
GU_T1	gu u_h u_h
GU_T2	gu u_l u_h
GU_T3	gu u_l u_l
GU_T4	gu u_h u_l
GUA_T0	gu a_m a_m
GUA_T1	gu a_h a_h
GUA_T2	gu a_l a_h
GUA_T3	gu a_l a_l
GUA_T4	gu a_h a_l
GUAI_T0	gu a_m eh_m
GUAI_T1	gu a_h eh_h
GUAI_T2	gu a_l eh_h
GUAI_T3	gu a_l eh_l
GUAI_T4	gu a_h eh_l
GUAN_T0	gu a_m nn_m
GUAN_T1	gu a_h nn_h
GUAN_T2	gu a_l nn_h
GUAN_T3	gu a_l nn_l
GUAN_T4	gu a_h nn_l
GUANG_T0	gu aa_m ng_m
GUANG_T1	gu aa_h ng_h
GUANG_T2	gu aa_l ng_h
GUANG_T3	gu aa_l ng_l
GUANG_T4	gu aa_h ng_l
GUI_T0	gu eh_m i_m
GUI_T1	gu eh_h i_h
GUI_T2	gu eh_l i_h
GUI_T3	gu eh_l i_l
GUI_T4	gu eh_h i_l
GUN_T0	gu el_m nn_m
GUN_T1	gu el_h nn_h
GUN_T2	gu el_l nn_h
GUN_T3	gu el_l nn_l
GUN_T4	gu el_h nn_l
GUO_T0	gu o_m o_m
GUO_T1	gu o_h o_h
GUO_T2	gu o_l o_h
