A_T0	a_m a_m
XIANG_T1	xi aa_h ng_h
XIANG_T2	xi aa_l ng_h
XIANG_T3	xi aa_l ng_l
XIANG_T4	xi aa_h ng_l
XIAO_T0	xi aa_m o_m
XIAO_T1	xi aa_h o_h
XIAO_T2	xi aa_l o_h
XIAO_T3	xi aa_l o_l
XIAO_T4	xi aa_h o_l
XIE_T0	xi eh_m eh_m
XIE_T1	xi eh_h eh_h
XIE_T2	xi eh_l eh_h
XIE_T3	xi eh_l eh_l
XIE_T4	xi eh_h eh_l
XIN_T0	xi i_m nn_m
XIN_T1	xi i_h nn_h
XIN_T2	xi i_l nn_h
XIN_T3	xi i_l nn_l
XIN_T4	xi i_h nn_l
XING_T0	xi el_m ng_m
XING_T1	xi el_h ng_h
XING_T2	xi el_l ng_h
XING_T3	xi el_l ng_l
XING_T4	xi el_h ng_l
XIONG_T0	xv u_m ng_m
XIONG_T1	xv u_h ng_h
XIONG_T2	xv u_l ng_h
XIONG_T3	xv u_l ng_l
XIONG_T4	xv u_h ng_l
XIU_T0	xi o_m u_m
XIU_T1	xi o_h u_h
XIU_T2	xi o_l u_h
XIU_T3	xi o_l u_l
XIU_T4	xi o_h u_l
XU_T0	xv v_m v_m
XU_T1	xv v_h v_h
XU_T2	xv v_l v_h
XU_T3	xv v_l v_l
XU_T4	xv v_h v_l
XUAN_T0	xv a_m nn_m
XUAN_T1	xv a_h nn_h
XUAN_T2	xv a_l nn_h
XUAN_T3	xv a_l nn_l
XUAN_T4	xv a_h nn_l
XUE_T0	xv eh_m eh_m
XUE_T1	xv eh_h eh_h
XUE_T2	xv eh_l eh_h
XUE_T3	xv eh_l eh_l
XUE_T4	xv eh_h eh_l
XUN_T0	xv el_m nn_m
XUN_T1	xv el_h nn_h
XUN_T2	xv el_l nn_h
XUN_T3	xv el_l nn_l
XUN_T4	xv el_h nn_l
YA_T0	yi a_m a_m
YA_T1	yi a_h a_h
YA_T2	yi a_l a_h
YA_T3	yi a_l a_l
YA_T4	yi a_h a_l
YAN_T0	yi a_m nn_m
YAN_T1	yi a_h nn_h
YAN_T2	yi a_l nn_h
YAN_T3	yi a_l nn_l
YAN_T4	yi a_h nn_l
YANG_T0	yi aa_m ng_m
YANG_T1	yi aa_h ng_h
YANG_T2	yi aa_l ng_h
YANG_T3	yi aa_l ng_l
YANG_T4	yi aa_h ng_l
YAO_T0	yi aa_m o_m
YAO_T1	yi aa_h o_h
YAO_T2	yi aa_l o_h
YAO_T3	yi aa_l o_l
YAO_T4	yi aa_h o_l
YE_T0	yi eh_m eh_m
YE_T1	yi eh_h eh_h
YE_T2	yi eh_l eh_h
YE_T3	yi eh_l eh_l
YE_T4	yi eh_h eh_l
YI_T0	yi i_m i_m
YI_T1	yi i_h i_h
YI_T2	yi i_l i_h
YI_T3	yi i_l i_l
YI_T4	yi i_h i_l
YIN_T0	yi i_m nn_m
YIN_T1	yi i_h nn_h
YIN_T2	yi i_l nn_h
YIN_T3	yi i_l nn_l
YIN_T4	yi i_h nn_l
YING_T0	yi el_m ng_m
YING_T1	yi el_h ng_h
YING_T2	yi el_l ng_h
YING_T3	yi el_l ng_l
YING_T4	yi el_h ng_l
YO_T0	yi o_m o_m
YO_T1	yi o_h o_h
YO_T2	yi o_l o_h
YO_T3	yi o_l o_l
YO_T4	yi o_h o_l
YONG_T0	yi u_m ng_m
YONG_T1	yi u_h ng_h
YONG_T2	yi u_l ng_h
YONG_T3	yi u_l ng_l
YONG_T4	yi u_h ng_l
YOU_T0	yi o_m u_m
YOU_T1	yi o_h u_h
YOU_T2	yi o_l u_h
YOU_T3	yi o_l u_l
YOU_T4	yi o_h u_l
YU_T0	yv v_m v_m
YU_T1	yv v_h v_h
YU_T2	yv v_l v_h
YU_T3	yv v_l v_l
YU_T4	yv v_h v_l
YUAN_T0	yv a_m nn_m
YUAN_T1	yv a_h nn_h
YUAN_T2	yv a_l nn_h
YUAN_T3	yv a_l nn_l
YUAN_T4	yv a_h nn_l
YUE_T0	yv eh_m eh_m
YUE_T1	yv eh_h eh_h
YUE_T2	yv eh_l eh_h
YUE_T3	yv eh_l eh_l
YUE_T4	yv eh_h eh_l
YUN_T0	yv el_m nn_m
YUN_T1	yv el_h nn_h
YUN_T2	yv el_l nn_h
YUN_T3	yv el_l nn_l
YUN_T4	yv el_h nn_l
ZA_T0	z a_m a_m
ZA_T1	z a_h a_h
ZA_T2	z a_l a_h
ZA_T3	z a_l a_l
ZA_T4	z a_h a_l
ZAI_T0	z a_m eh_m
ZAI_T1	z a_h eh_h
ZAI_T2	z a_l eh_h
ZAI_T3	z a_l eh_l
ZAI_T4	z a_h eh_l
ZAN_T0	z a_m nn_m
ZAN_T1	z a_h nn_h
ZAN_T2	z a_l nn_h
ZAN_T3	z a_l nn_l
ZAN_T4	z a_h nn_l
ZANG_T0	z aa_m ng_m
ZANG_T1	z aa_h ng_h
ZANG_T2	z aa_l ng_h
ZANG_T3	z aa_l ng_l
ZANG_T4	z aa_h ng_l
ZAO_T0	z aa_m o_m
ZAO_T1	z aa_h o_h
ZAO_T2	z aa_l o_h
ZAO_T3	z aa_l o_l
ZAO_T4	z aa_h o_l
ZE_T0	z el_m el_m
ZE_T1	z el_h el_h
ZE_T2	z el_l el_h
ZE_T3	z el_l el_l
ZE_T4	z el_h el_l
ZEI_T0	z eh_m i_m
ZEI_T1	z eh_h i_h
ZEI_T2	z eh_l i_h
ZEI_T3	z eh_l i_l
ZEI_T4	z eh_h i_l
ZEN_T0	z el_m nn_m
ZEN_T1	z el_h nn_h
ZEN_T2	z el_l nn_h
ZEN_T3	z el_l nn_l
ZEN_T4	z el_h nn_l
ZENG_T0	z el_m ng_m
ZENG_T1	z el_h ng_h
ZENG_T2	z el_l ng_h
ZENG_T3	z el_l ng_l
ZENG_T4	z el_h ng_l
ZHA_T0	zh a_m a_m
ZHA_T1	zh a_h a_h
ZHA_T2	zh a_l a_h
ZHA_T3	zh a_l a_l
ZHA_T4	zh a_h a_l
ZHAI_T0	zh a_m eh_m
ZHAI_T1	zh a_h eh_h
ZHAI_T2	zh a_l eh_h
ZHAI_T3	zh a_l eh_l
ZHAI_T4	zh a_h eh_l
ZHAN_T0	zh a_m nn_m
ZHAN_T1	zh a_h nn_h
ZHAN_T2	zh a_l nn_h
ZHAN_T3	zh a_l nn_l
ZHAN_T4	zh a_h nn_l
ZHANG_T0	zh aa_m ng_m
ZHANG_T1	zh aa_h ng_h
ZHANG_T2	zh aa_l ng_h
ZHANG_T3	zh aa_l ng_l
ZHANG_T4	zh aa_h ng_l
ZHAO_T0	zh aa_m o_m
ZHAO_T1	zh aa_h o_h
ZHAO_T2	zh aa_l o_h
ZHAO_T3	zh aa_l o_l
ZHAO_T4	zh aa_h o_l
ZHE_T0	zh el_m el_m
ZHE_T1	zh el_h el_h
ZHE_T2	zh el_l el_h
ZHE_T3	zh el_l el_l
ZHE_T4	zh el_h el_l
ZHEI_T0	zh eh_m i_m
ZHEI_T1	zh eh_h i_h
ZHEI_T2	zh eh_l i_h
ZHEI_T3	zh eh_l i_l
ZHEI_T4	zh eh_h i_l
ZHEN_T0	zh el_m nn_m
ZHEN_T1	zh el_h nn_h
ZHEN_T2	zh el_l nn_h
ZHEN_T3	zh el_l nn_l
ZHEN_T4	zh el_h nn_l
ZHENG_T0	zh el_m ng_m
ZHENG_T1	zh el_h ng_h
ZHENG_T2	zh el_l ng_h
ZHENG_T3	zh el_l ng_l
ZHENG_T4	zh el_h ng_l
ZHI_T0	zh ib_m ib_m
ZHI_T1	zh ib_h ib_h
ZHI_T2	zh ib_l ib_h
ZHI_T3	zh ib_l ib_l
ZHI_T4	zh ib_h ib_l
ZHONG_T0	zhu u_m ng_m
ZHONG_T1	zhu u_h ng_h
ZHONG_T2	zhu u_l ng_h
ZHONG_T3	zhu u_l ng_l
ZHONG_T4	zhu u_h ng_l
ZHOU_T0	zh o_m u_m
ZHOU_T1	zh o_h u_h
ZHOU_T2	zh o_l u_h
ZHOU_T3	zh o_l u_l
ZHOU_T4	zh o_h u_l
ZHU_T0	zhu u_m u_m
ZHU_T1	zhu u_h u_h
ZHU_T2	zhu u_l u_h
ZHU_T3	zhu u_l u_l
ZHU_T4	zhu u_h u_l
ZHUA_T0	zhu a_m a_m
ZHUA_T1	zhu a_h a_h
ZHUA_T2	zhu a_l a_h
ZHUA_T3	zhu a_l a_l
ZHUA_T4	zhu a_h a_l
ZHUAI_T0	zhu a_m eh_m
ZHUAI_T1	zhu a_h eh_h
ZHUAI_T2	zhu a_l eh_h
ZHUAI_T3	zhu a_l eh_l
ZHUAI_T4	zhu a_h eh_l
ZHUAN_T0	zhu a_m nn_m
ZHUAN_T1	zhu a_h nn_h
ZHUAN_T2	zhu a_l nn_h
ZHUAN_T3	zhu a_l nn_l
ZHUAN_T4	zhu a_h nn_l
ZHUANG_T0	zhu aa_m ng_m
ZHUANG_T1	zhu aa_h ng_h
ZHUANG_T2	zhu aa_l ng_h
ZHUANG_T3	zhu aa_l ng_l
ZHUANG_T4	zhu aa_h ng_l
ZHUI_T0	zhu eh_m i_m
ZHUI_T1	zhu eh_h i_h
ZHUI_T2	zhu eh_l i_h
ZHUI_T3	zhu eh_l i_l
ZHUI_T4	zhu eh_h i_l
ZHUN_T0	zhu el_m nn_m
ZHUN_T1	zhu el_h nn_h
ZHUN_T2	zhu el_l nn_h
ZHUN_T3	zhu el_l nn_l
ZHUN_T4	zhu el_h nn_l
ZHUO_T0	zhu o_m o_m
ZHUO_T1	zhu o_h o_h
ZHUO_T2	zhu o_l o_h
ZHUO_T3	zhu o_l o_l
ZHUO_T4	zhu o_h o_l
ZI_T0	z if_m if_m
ZI_T1	z if_h if_h
ZI_T2	z if_l if_h
ZI_T3	z if_l if_l
ZI_T4	z if_h if_l
ZONG_T0	zu u_m ng_m
ZONG_T1	zu u_h ng_h
ZONG_T2	zu u_l ng_h
ZONG_T3	zu u_l ng_l
ZONG_T4	zu u_h ng_l
ZOU_T0	z o_m u_m
ZOU_T1	z o_h u_h
ZOU_T2	z o_l u_h
ZOU_T3	z o_l u_l
ZOU_T4	z o_h u_l
ZU_T0	zu u_m u_m
ZU_T1	zu u_h u_h
ZU_T2	zu u_l u_h
ZU_T3	zu u_l u_l
ZU_T4	zu u_h u_l
ZUAN_T0	zu a_m nn_m
ZUAN_T1	zu a_h nn_h
ZUAN_T2	zu a_l nn_h
ZUAN_T3	zu a_l nn_l
ZUAN_T4	zu a_h nn_l
ZUI_T0	zu eh_m i_m
ZUI_T1	zu eh_h i_h
ZUI_T2	zu eh_l i_h
ZUI_T3	zu eh_l i_l
ZUI_T4	zu eh_h i_l
ZUN_T0	zu el_m nn_m
ZUN_T1	zu el_h nn_h
ZUN_T2	zu el_l nn_h
ZUN_T3	zu el_l nn_l
ZUN_T4	zu el_h nn_l
ZUO_T0	zu o_m o_m
ZUO_T1	zu o_h o_h
ZUO_T2	zu o_l o_h
ZUO_T3	zu o_l o_l
ZUO_T4	zu o_h o_l
