傸	CHUANG_T3
傹	JING_T4
傺	CHI_T4
傻	SHA_T3
傼	HAN_T4
傽	ZHANG_T1
傿	YAN_T4
僀	DI_T4
僁	XIE_T4
僃	BEI_T4
僄	PIAO_T4
僆	LIAN_T4
僈	MAN_T4
僋	TAN_T4
僌	YING_T2
働	DONG_T4
僎	ZHUAN_T4
像	XIANG_T4
僐	SHAN_T4
僒	JIONG_T3
僓	TUI_T3
僔	ZUN_T3
僖	XI_T1
僗	LAO_T4
僘	CHANG_T3
僙	GUANG_T1
僚	LIAO_T2
僛	QI_T1
僜	TENG_T2
僝	CHAN_T2;ZHUAN_T4
僞	WEI_T3
僟	JI_T1
僠	BO_T1
僡	HUI_T4
僢	CHUN_T3
僣	TIE_T3
僤	DAN_T4
僦	JIU_T4
僧	SENG_T1
僩	XIAN_T4
僪	YU_T4
僫	E_T4
僬	JIAO_T1
僭	JIAN_T4
僮	TONG_T2;ZHUANG_T4
僯	LIN_T4
僰	BO_T2
僲	XIAN_T1
僳	SU_T4
僴	XIAN_T4
僵	JIANG_T1
僶	MIN_T3
僷	YE_T4
僸	JIN_T4
僺	QIAO_T4
僻	PI_T4
僼	FENG_T1
僽	ZHOU_T4
僾	AI_T4
僿	SAI_T4
儁	JUN_T4
儃	SHAN_T4
儆	JING_T3
儇	XUAN_T1
儊	CHU_T4
儋	DAN_T1
儍	SHA_T3
儎	ZAI_T4
儏	CAN_T4
儑	AN_T4
儒	RU_T2
儓	TAI_T4
儖	LAN_T2
儙	QIAN_T4
儚	MENG_T2
儛	WU_T3
儜	NING_T2
儝	QIONG_T2
儞	NI_T3
儠	LIE_T4
儡	LEI_T3
儢	LV_T3
儣	KUANG_T3
儤	BAO_T4
儥	YU_T4
儦	BIAO_T1
儧	ZAN_T3
儨	ZHI_T4
儩	SI_T4
儫	HAO_T2
儬	QING_T4
儭	CHEN_T4
儮	LI_T4
儯	TENG_T2
儰	WEI_T3
儱	LONG_T4
儳	CHAN_T4;CHAN_T2
儴	XIANG_T1
儵	SHU_T1;TIAO_T2
儶	XIE_T2
儽	LUO_T3
儾	NANG_T4
儿	ER_T2;ER_T0
兀	WU_T1;WU_T4
允	YUN_T3
兂	ZAN_T1
元	YUAN_T2
兄	XIONG_T1
充	CHONG_T1
兆	ZHAO_T4
先	XIAN_T1
光	GUANG_T1
兊	DUI_T4
克	KE_T4
免	MIAN_T3
兎	TU_T4
兏	CHANG_T2
児	NI_T2
兑	DUI_T4;DUI_T0
兓	JIN_T1
兔	TU_T4
兕	SI_T4
兖	YAN_T3
兘	SHI_T3
兙	KE_T4
党	DANG_T3
兛	KE_T4
兜	DOU_T1
兝	FEN_T1
兞	KE_T4
兟	SHEN_T1
兠	DOU_T1
兡	KE_T4
兢	JING_T1
兣	GONG_T1
兤	HUANG_T3
入	RU_T4
兦	WU_T2
全	QUAN_T2
兪	YU_T2
八	BA_T1;BA_T2;BA_T0
公	GONG_T1;GONG_T0
六	LIU_T4;LU_T4
兮	XI_T1
兯	JIE_T2
兰	LAN_T2
共	GONG_T1;GONG_T4
兲	TIAN_T1
关	GUAN_T1
兴	XING_T1;XING_T4;XING_T0
兵	BING_T1
其	JI_T1;QI_T2
具	JU_T4
典	DIAN_T3
兹	CI_T2;ZI_T1
养	YANG_T3
兼	JIAN_T1
兽	SHOU_T4
兾	JI_T4
兿	YI_T4
冀	JI_T4
冁	CHAN_T3
冂	TONG_T2
冃	MAO_T4
冄	RAN_T3
内	NEI_T4
円	YUAN_T2
冇	MAO_T3
冈	GANG_T1
冉	RAN_T3
冋	JIONG_T3
册	CE_T4
再	ZAI_T4
冎	GUA_T3
冏	JIONG_T1;JIONG_T3
冐	MO_T4
冒	MAO_T4;MO_T4
冓	GOU_T4
冔	XU_T3
冕	MIAN_T3
冖	MI_T4;PING_T2;TU_T1
冗	RONG_T3
冘	YOU_T2
写	XIE_T4;XIE_T3
冚	KAN_T3
军	JUN_T1
农	NONG_T2
冝	YI_T2
冞	MI_T2
